Year,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1763,19.543,2.155,Cracow,Poland,50.63N,19.01E
1763,18.583,3.349,Cracow,Poland,50.63N,19.01E
1763,12.287,2.96,Cracow,Poland,50.63N,19.01E
1763,5.846,6.2,Cracow,Poland,50.63N,19.01E
1763,1.702,3.417,Cracow,Poland,50.63N,19.01E
1763,0.4290000000000001,2.441,Cracow,Poland,50.63N,19.01E
1764,-1.6130000000000002,5.477,Cracow,Poland,50.63N,19.01E
1764,1.731,3.361,Cracow,Poland,50.63N,19.01E
1764,1.876,3.438,Cracow,Poland,50.63N,19.01E
1764,7.276000000000002,4.709,Cracow,Poland,50.63N,19.01E
1764,14.753,7.455,Cracow,Poland,50.63N,19.01E
1764,15.706,3.113,Cracow,Poland,50.63N,19.01E
1764,19.532,5.488,Cracow,Poland,50.63N,19.01E
1764,16.581,1.5219999999999998,Cracow,Poland,50.63N,19.01E
1764,12.28,5.075,Cracow,Poland,50.63N,19.01E
1764,7.324999999999998,2.866,Cracow,Poland,50.63N,19.01E
1764,2.004,3.484,Cracow,Poland,50.63N,19.01E
1764,-1.079,4.204,Cracow,Poland,50.63N,19.01E
1765,-1.1709999999999998,10.055,Cracow,Poland,50.63N,19.01E
1765,-3.81,4.486000000000001,Cracow,Poland,50.63N,19.01E
1765,4.163,3.049,Cracow,Poland,50.63N,19.01E
1765,8.758000000000001,1.753,Cracow,Poland,50.63N,19.01E
1765,11.681,2.46,Cracow,Poland,50.63N,19.01E
1765,16.469,3.1460000000000004,Cracow,Poland,50.63N,19.01E
1765,16.523,3.781,Cracow,Poland,50.63N,19.01E
1765,18.142,2.935,Cracow,Poland,50.63N,19.01E
1765,12.812,1.746,Cracow,Poland,50.63N,19.01E
1765,8.373,1.3030000000000002,Cracow,Poland,50.63N,19.01E
1765,3.255,3.956,Cracow,Poland,50.63N,19.01E
1765,-2.2230000000000003,2.635,Cracow,Poland,50.63N,19.01E
1766,-6.23,7.099,Cracow,Poland,50.63N,19.01E
1766,-2.955,4.672,Cracow,Poland,50.63N,19.01E
1766,3.136,3.019,Cracow,Poland,50.63N,19.01E
1766,9.461,3.506,Cracow,Poland,50.63N,19.01E
1766,14.406,2.651,Cracow,Poland,50.63N,19.01E
1766,17.499000000000002,7.018,Cracow,Poland,50.63N,19.01E
1766,17.831,4.132,Cracow,Poland,50.63N,19.01E
1766,17.45,3.407,Cracow,Poland,50.63N,19.01E
1766,14.229,3.851,Cracow,Poland,50.63N,19.01E
1766,7.337000000000001,2.1,Cracow,Poland,50.63N,19.01E
1766,4.109,5.358,Cracow,Poland,50.63N,19.01E
1766,-2.715,3.896,Cracow,Poland,50.63N,19.01E
1767,-10.363,6.738,Cracow,Poland,50.63N,19.01E
1767,-0.908,7.956,Cracow,Poland,50.63N,19.01E
1767,2.577,8.595,Cracow,Poland,50.63N,19.01E
1767,5.42,6.523,Cracow,Poland,50.63N,19.01E
1767,11.965,2.514,Cracow,Poland,50.63N,19.01E
1767,16.179000000000002,3.884,Cracow,Poland,50.63N,19.01E
1767,18.169,4.186,Cracow,Poland,50.63N,19.01E
1767,18.319000000000003,2.401,Cracow,Poland,50.63N,19.01E
1767,14.273,4.245,Cracow,Poland,50.63N,19.01E
1767,8.436,2.877,Cracow,Poland,50.63N,19.01E
1767,5.662999999999999,7.943,Cracow,Poland,50.63N,19.01E
1767,-3.821,5.686,Cracow,Poland,50.63N,19.01E
1768,-8.628,12.361,Cracow,Poland,50.63N,19.01E
1768,-4.561999999999999,8.175,Cracow,Poland,50.63N,19.01E
1768,-0.0769999999999999,6.192,Cracow,Poland,50.63N,19.01E
1768,7.379,3.812,Cracow,Poland,50.63N,19.01E
1768,12.138,2.6,Cracow,Poland,50.63N,19.01E
1768,16.379,4.972,Cracow,Poland,50.63N,19.01E
1768,18.613,4.832,Cracow,Poland,50.63N,19.01E
1768,17.456,1.779,Cracow,Poland,50.63N,19.01E
1768,12.535,4.727,Cracow,Poland,50.63N,19.01E
1768,6.872000000000001,5.74,Cracow,Poland,50.63N,19.01E
1768,2.758,5.154,Cracow,Poland,50.63N,19.01E
1768,-1.082,6.894,Cracow,Poland,50.63N,19.01E
1769,-1.4900000000000002,5.738,Cracow,Poland,50.63N,19.01E
1769,-2.199,3.769,Cracow,Poland,50.63N,19.01E
1769,2.23,5.997999999999999,Cracow,Poland,50.63N,19.01E
1769,8.261000000000001,6.43,Cracow,Poland,50.63N,19.01E
1769,12.701,8.835,Cracow,Poland,50.63N,19.01E
1769,16.967,4.682,Cracow,Poland,50.63N,19.01E
1769,18.198,5.84,Cracow,Poland,50.63N,19.01E
1769,16.779999999999998,5.238,Cracow,Poland,50.63N,19.01E
1769,13.92,1.443,Cracow,Poland,50.63N,19.01E
1769,3.97,2.967,Cracow,Poland,50.63N,19.01E
1769,2.1260000000000003,1.513,Cracow,Poland,50.63N,19.01E
1769,-1.975,4.0680000000000005,Cracow,Poland,50.63N,19.01E
1770,-4.208,7.095,Cracow,Poland,50.63N,19.01E
1770,-1.957,3.73,Cracow,Poland,50.63N,19.01E
1770,-1.6470000000000002,4.271,Cracow,Poland,50.63N,19.01E
1770,7.223000000000001,12.367,Cracow,Poland,50.63N,19.01E
1770,12.99,1.92,Cracow,Poland,50.63N,19.01E
1770,15.861,4.11,Cracow,Poland,50.63N,19.01E
1770,17.345,8.199,Cracow,Poland,50.63N,19.01E
1770,17.249000000000002,4.715,Cracow,Poland,50.63N,19.01E
1770,14.475,3.217,Cracow,Poland,50.63N,19.01E
1770,8.993,5.192,Cracow,Poland,50.63N,19.01E
1770,3.004,6.56,Cracow,Poland,50.63N,19.01E
1770,0.923,9.705,Cracow,Poland,50.63N,19.01E
1771,-3.5660000000000003,7.77,Cracow,Poland,50.63N,19.01E
1771,-6.109,4.26,Cracow,Poland,50.63N,19.01E
1771,-2.165,8.055,Cracow,Poland,50.63N,19.01E
1771,4.1000000000000005,7.383999999999999,Cracow,Poland,50.63N,19.01E
1771,14.753,11.300999999999998,Cracow,Poland,50.63N,19.01E
